A2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Time [s]	0	1238.7	2477.3	3716.1	4954.8	6193.4	7432.2	8670.9	9909.6	11148.3	12386.9	13625.6	14864.3	16103	17341.6	18580.3	19819	21057.7	22296.4	23535	24773.7	26012.4	27251.1	28489.9	29728.6	30967.3	32206	33444.6	34683.3	35922	37160.7	38399.4	39638.1	40876.8	42115.5	43354.1	44592.8
Temp. [°C]	28.8	28.7	29.5	30.4	30.6	31.1	31.5	31.6	31.9	31.9	32	32	32.2	32	32	32.1	32.1	32.4	32.4	32.2	32.4	32.3	32.4	32.5	32.4	32.5	32.7	32.3	32.4	32.6	32.4	32.5	30.9	29.2	29	29.2	29.8
Mean	0.292199999	0.312900007	0.314599991	0.316500008	0.317099988	0.316500008	0.316500008	0.316100001	0.316700011	0.317000002	0.316399992	0.315899998	0.317400008	0.317600012	0.316700011	0.316500008	0.317099988	0.318899989	0.317999989	0.317600012	0.317000002	0.316199988	0.316500008	0.316399992	0.315600008	0.315400004	0.314799994	0.315899998	0.314799994	0.316300005	0.315200001	0.315400004	0.315299988	0.314799994	0.316500008	0.316100001	0.317499995
StDev	0.194700003	0.200399995	0.202199996	0.204300001	0.2042	0.203500003	0.203099996	0.202700004	0.203299999	0.204400003	0.203500003	0.203400001	0.204400003	0.205799997	0.203999996	0.203700006	0.205300003	0.208100006	0.206699997	0.206	0.2051	0.203799993	0.203299999	0.203299999	0.203099996	0.202000007	0.2016	0.202900007	0.201299995	0.204300001	0.201900005	0.201000005	0.199599996	0.199200004	0.202399999	0.2016	0.204099998
0;3	0.625699997	0.640100002	0.642099977	0.654600024	0.657700002	0.649900019	0.647499979	0.645900011	0.651600003	0.652800024	0.6505	0.647199988	0.652400017	0.66079998	0.649800003	0.65079999	0.664799988	0.689400017	0.676900029	0.668200016	0.660300016	0.649200022	0.642400026	0.639999986	0.637199998	0.633899987	0.632200003	0.638999999	0.629599988	0.647099972	0.634899974	0.631500006	0.62529999	0.621399999	0.638400018	0.635399997	0.655099988
1;3	0.307099998	0.351599991	0.352299988	0.356900007	0.357800007	0.351599991	0.351099998	0.348100007	0.349099994	0.350199997	0.349400014	0.351799995	0.351700008	0.354900002	0.352299988	0.351799995	0.355699986	0.359400004	0.357499987	0.355399996	0.353199989	0.34889999	0.34709999	0.347200006	0.347000003	0.344000012	0.343199998	0.3477	0.343300015	0.349900007	0.344399989	0.344099998	0.340299994	0.339100003	0.345299989	0.344300002	0.351099998
2;3	0.312999994	0.330599993	0.328500003	0.329600006	0.327800006	0.325700015	0.324999988	0.322699994	0.322600007	0.323799998	0.322600007	0.32190001	0.323000014	0.324200004	0.322899997	0.321399987	0.3213	0.323000014	0.32249999	0.322100013	0.322400004	0.32159999	0.32190001	0.321399987	0.321799994	0.3204	0.320800006	0.32159999	0.319400012	0.32100001	0.317900002	0.317299992	0.315800011	0.315800011	0.318699986	0.318599999	0.320499986
3;3	0.702799976	0.757600009	0.76730001	0.772099972	0.770399988	0.773000002	0.770200014	0.768599987	0.769299984	0.773800015	0.769800007	0.769599974	0.773599982	0.774699986	0.771300018	0.768400013	0.764400005	0.761099994	0.762700021	0.764599979	0.766700029	0.76700002	0.771899998	0.772899985	0.772099972	0.7676	0.765399992	0.769400001	0.765600026	0.771000028	0.765500009	0.763300002	0.761500001	0.760999978	0.767499983	0.765799999	0.764699996
3;2	0.271499991	0.276800007	0.277099997	0.276199996	0.275000006	0.275000006	0.275000006	0.27579999	0.275599986	0.2755	0.275299996	0.274500012	0.275000006	0.274699986	0.273400009	0.272799999	0.270999998	0.26879999	0.270099998	0.270700008	0.271100014	0.273099989	0.275000006	0.275299996	0.274100006	0.273900002	0.273499995	0.273400009	0.274300009	0.273999989	0.274599999	0.274599999	0.275700003	0.27610001	0.275999993	0.275299996	0.272300005
2;2	0.099799998	0.116700001	0.115199998	0.114799999	0.113700002	0.1131	0.1127	0.112199999	0.111699998	0.111500002	0.111500002	0.1105	0.109899998	0.109899998	0.109099999	0.108599998	0.108400002	0.106399998	0.107100002	0.106200002	0.105899997	0.1052	0.105400003	0.104900002	0.104599997	0.103200004	0.103500001	0.102600001	0.101999998	0.1017	0.101400003	0.100699998	0.1017	0.1008	0.101099998	0.101599999	0.100400001
1;2	0.092100002	0.091899998	0.093199998	0.095100001	0.096699998	0.097599998	0.096699998	0.096600004	0.095100001	0.094999999	0.094899997	0.0942	0.094099998	0.093699999	0.093699999	0.0933	0.093099996	0.092699997	0.092600003	0.092200004	0.092100002	0.091899998	0.091600001	0.091600001	0.091600001	0.091300003	0.091200002	0.0911	0.090999998	0.090899996	0.090700001	0.090899996	0.0911	0.091499999	0.091399997	0.091300003	0.091399997
0;2	0.232999995	0.262199998	0.264699996	0.269699991	0.272799999	0.270900011	0.272000015	0.273299992	0.272500008	0.273900002	0.271699995	0.273600012	0.274699986	0.275299996	0.275700003	0.275999993	0.282400012	0.287299991	0.282999992	0.283600003	0.278699994	0.276300013	0.272700012	0.273000002	0.272000015	0.271800011	0.271600008	0.270000011	0.270300001	0.273799986	0.269600004	0.269199997	0.26879999	0.268700004	0.273699999	0.272399992	0.27759999
0;1	0.208000004	0.236100003	0.239399999	0.243699998	0.244900003	0.2447	0.244100004	0.245499998	0.246600002	0.246800005	0.246800005	0.247299999	0.248199999	0.249799997	0.248600006	0.249699995	0.254799992	0.258300006	0.255800009	0.256199986	0.254099995	0.252099991	0.251399994	0.251199991	0.250200003	0.25060001	0.250800014	0.250999987	0.250699997	0.253100008	0.252700001	0.253100008	0.253899992	0.254700005	0.256999999	0.256199986	0.260100007
1;1	0.0902	0.097800002	0.098200001	0.099200003	0.099699996	0.099200003	0.0995	0.0986	0.099399999	0.0995	0.100100003	0.100000001	0.0999	0.0999	0.100299999	0.100599997	0.100599997	0.101599999	0.101300001	0.101000004	0.101499997	0.101099998	0.102499999	0.101499997	0.102300003	0.102200001	0.101800002	0.1017	0.1017	0.102200001	0.101400003	0.101199999	0.1021	0.102200001	0.101599999	0.101199999	0.101400003
2;1	0.094400004	0.095899999	0.097000003	0.097199999	0.097800002	0.097900003	0.097000003	0.097499996	0.096699998	0.096600004	0.096600004	0.095899999	0.096699998	0.095799997	0.096299998	0.096000001	0.0955	0.095100001	0.095200002	0.095100001	0.095200002	0.0955	0.095600002	0.095600002	0.095399998	0.095600002	0.0955	0.095299996	0.095700003	0.095200002	0.0955	0.095700003	0.096500002	0.096500002	0.096100003	0.097199999	0.096600004
3;1	0.263000011	0.281500012	0.282599986	0.280900002	0.279900014	0.284299999	0.282900006	0.284200013	0.284000009	0.283199996	0.281500012	0.280600011	0.28549999	0.278299987	0.279700011	0.280299991	0.268700004	0.265399992	0.268299997	0.269199997	0.271899998	0.278800011	0.282000005	0.282999992	0.279199988	0.280400008	0.278400004	0.278100014	0.282700002	0.275900006	0.281100005	0.281699985	0.284099996	0.284000009	0.280000001	0.279599994	0.272399992
